iterations,mean_reward,max_reward,total_loss,policy_loss,kl_loss,mean_diversity
405,0.9711004904145266,0.9963562722639319,0.025298334658145905,-0.044279709458351135,0.06957804411649704,0.7136432615005143
406,0.9681781692190261,0.996812924182049,0.14209401607513428,0.07843191921710968,0.0636621043086052,0.5173358881490238
407,0.9707565799818335,0.9941134543031106,0.050651419907808304,-0.007918711751699448,0.05857013165950775,0.6678441711964216
408,0.9698519806246255,0.9918957744327642,0.05201079696416855,-0.008390920236706734,0.06040171533823013,0.6692627087617231
409,0.9728150990736335,0.9948542001395086,0.01699655130505562,-0.049641575664281845,0.06663812696933746,0.6387098851948413
410,0.9715769010403339,0.9971936186646704,-0.024798791855573654,-0.08520014584064484,0.06040135398507118,0.508214413372471
411,0.9740010443795883,0.9921656688439864,0.06449297815561295,-0.016094950959086418,0.08058793097734451,0.3520205015590139
412,0.9710838564855773,0.9958608132953319,0.15581363439559937,0.07405457645654678,0.08175905793905258,0.5214151173195127
413,0.9740277514929372,1.0,0.11873318254947662,0.03831564262509346,0.08041753619909286,0.5152789912539194
414,0.9684944447125893,0.9895000747824616,0.0866219773888588,0.015620462596416473,0.07100151479244232,0.6971104718610523
415,0.963964349452844,0.9942292664084398,0.07216860353946686,-0.0016281437128782272,0.07379674911499023,0.6202946690177663
416,0.9648579148277376,0.9944387105628415,0.12595126032829285,0.05270307511091232,0.07324817776679993,0.5391824870350328
417,0.9684148502244738,0.9969194897990374,0.13539226353168488,0.07433620095252991,0.06105605885386467,0.6605857425375701
418,0.9631018172611925,0.9956489792094382,0.1281806379556656,0.045398421585559845,0.08278221637010574,0.6278958104094544
419,0.9663943250339115,0.991494912960909,0.04586191475391388,-0.020342156291007996,0.06620407104492188,0.5927654180683846
420,0.9652659022326013,0.9955163415447743,0.025680862367153168,-0.03694494813680649,0.06262581050395966,0.5617383461807933
421,0.9683530622803687,0.9954509562977804,0.0869908258318901,0.022276774048805237,0.06471405178308487,0.6239062704731702
422,0.9706306531108171,0.9942151370870488,0.017728105187416077,-0.04969262331724167,0.06742072850465775,0.6756982446055191
423,0.9687277526432697,0.9953616047393822,0.11062143743038177,0.03914728760719299,0.07147414982318878,0.6211147624631858
